timestamp,Tech,DispatchGen_MW,Quarter,DayType,Hour,Source,Subplot
2023_Q1_H_21h,Run of River,408.2013446153846,Q1,Holiday,21h,Real,Real-Holiday
2023_Q1_H_22h,Run of River,399.4734861538461,Q1,Holiday,22h,Real,Real-Holiday
2023_Q1_H_23h,Run of River,394.4108392307692,Q1,Holiday,23h,Real,Real-Holiday
2023_Q1_H_0h,Thermal,1494.7634846153846,Q1,Holiday,0h,Real,Real-Holiday
2023_Q1_H_1h,Thermal,1516.0729892307693,Q1,Holiday,1h,Real,Real-Holiday
2023_Q1_H_2h,Thermal,1496.6145615384617,Q1,Holiday,2h,Real,Real-Holiday
2023_Q1_H_3h,Thermal,1427.362673846154,Q1,Holiday,3h,Real,Real-Holiday
2023_Q1_H_4h,Thermal,1386.4119576923076,Q1,Holiday,4h,Real,Real-Holiday
2023_Q1_H_5h,Thermal,1335.5611869230768,Q1,Holiday,5h,Real,Real-Holiday
2023_Q1_H_6h,Thermal,1301.883256153846,Q1,Holiday,6h,Real,Real-Holiday
2023_Q1_H_7h,Thermal,1222.64951,Q1,Holiday,7h,Real,Real-Holiday
2023_Q1_H_8h,Thermal,1244.0395776923078,Q1,Holiday,8h,Real,Real-Holiday
2023_Q1_H_9h,Thermal,1272.0406623076924,Q1,Holiday,9h,Real,Real-Holiday
